"id","Mood","Pol","actor.type","country","year"
"Argentina-1995",0.5113065,1.41777,"senate","Argentina",1995
"Argentina-1997",-0.179103,0.8789545,"senate","Argentina",1997
"Argentina-2003",-0.6207685,1.070605,"senate","Argentina",2003
"Argentina-2005",-1.048655,2.512455,"senate","Argentina",2005
"Argentina-2009",-1.828585,2.08026,"senate","Argentina",2009
"Bolivia-1993",0.303721,1.04848,"senate","Bolivia",1993
"Bolivia-1997",-0.482643,1.5392,"senate","Bolivia",1997
"Bolivia-2002",-0.988366,2.16384,"senate","Bolivia",2002
"Bolivia-2006",-0.8212685,1.879655,"senate","Bolivia",2006
"Brazil-2003",-0.672186,1.67192,"senate","Brazil",2003
"Brazil-2007",-0.4312815,1.93988,"senate","Brazil",2007
"Brazil-2013",0.124484,1.581395,"senate","Brazil",2013
"Chile-1993",0.5456625,1.45816,"senate","Chile",1993
"Chile-1997",-0.372563,1.120665,"senate","Chile",1997
"Chile-2002",-0.564381,1.22699,"senate","Chile",2002
"Chile-2006",-0.4632955,2.00228,"senate","Chile",2006
"Chile-2010",-0.523197,2.10699,"senate","Chile",2010
"Colombia-1998",-0.4684665,1.592105,"senate","Colombia",1998
"Colombia-2002",-0.99788,1.482175,"senate","Colombia",2002
"Colombia-2006",-0.683468,1.370475,"senate","Colombia",2006
"Colombia-2010",-1.22181,2.87422,"senate","Colombia",2010
"DominicanRep-1994",-0.8068765,2.55555,"senate","DominicanRep",1994
"DominicanRep-1998",-0.628029,1.09257,"senate","DominicanRep",1998
"DominicanRep-2002",-0.896106,1.16467,"senate","DominicanRep",2002
"DominicanRep-2006",-0.410071,1.42579,"senate","DominicanRep",2006
"DominicanRep-2010",-1.14792,2.690335,"senate","DominicanRep",2010
"Mexico-1994",0.01907115,1.61219,"senate","Mexico",1994
"Mexico-1997",-0.0543017,0.93335,"senate","Mexico",1997
"Mexico-2000",-0.194267,0.952178,"senate","Mexico",2000
"Mexico-2003",-0.4784305,1.34995,"senate","Mexico",2003
"Mexico-2006",-1.016645,1.4935,"senate","Mexico",2006
"Mexico-2009",-1.424295,2.77697,"senate","Mexico",2009
"Paraguay-1993",0.1631865,1.638805,"senate","Paraguay",1993
"Paraguay-1998",-0.6286505,1.53069,"senate","Paraguay",1998
"Paraguay-2003",-1.090565,1.78812,"senate","Paraguay",2003
"Paraguay-2008",-0.4387645,1.09905,"senate","Paraguay",2008
"Uruguay-1995",-0.2370635,2.42878,"senate","Uruguay",1995
"Uruguay-2000",-0.258691,1.08365,"senate","Uruguay",2000
"Uruguay-2005",-0.8287495,1.617935,"senate","Uruguay",2005
"Uruguay-2009",-1.506215,1.866765,"senate","Uruguay",2009
